AGS,Name,employment_rate_pct,population_change_5y_pct,share_65plus_pct,longterm_unemployed_share_pct
05111000,"Düsseldorf, Stadt",63.84,-0.48,18.98,34.94
05112000,"Duisburg, Stadt",56.24,0.92,20.25,44.18
05113000,"Essen, Stadt",58.96,-1.55,21.84,42.69
05114000,"Krefeld, Stadt",59.35,1.49,22.14,46.39
05116000,"Mönchengladbach, Stadt",58.93,2.38,21.41,44.22
05117000,"Mülheim an der Ruhr, Stadt",59.37,1.17,23.77,52.67
05119000,"Oberhausen, Stadt",57.51,1.27,22.57,49.14
05120000,"Remscheid, Stadt",60.77,2.76,22.04,33.77
05122000,"Solingen, Klingenstadt",60.86,4.22,21.88,46.63
05124000,"Wuppertal, Stadt",58.17,1.19,20.89,41.12
05154004,Bedburg-Hau,59.99,5.49,20.46,38.56
05154008,"Emmerich am Rhein, Stadt",51.67,3.19,21.99,46.98
05154012,"Geldern, Stadt",63.05,3.48,22.2,40.61
05154016,"Goch, Stadt",58.77,2.92,21.18,45.88
05154020,Issum,65.73,2.94,24.84,21.85
05154024,"Kalkar, Stadt",63.46,2.76,21.71,31.16
05154028,Kerken,64.19,3.93,23.65,25.22
05154032,"Kevelaer, Stadt",63.77,0.77,22.33,49.67
05154036,"Kleve, Stadt",52.91,2.01,21.0,47.36
05154040,Kranenburg,43.39,5.46,19.38,23.83
05154044,"Rees, Stadt",61.08,4.09,23.08,47.43
05154048,Rheurdt,63.5,-3.85,24.78,35.59
05154052,"Straelen, Stadt",68.87,2.07,20.32,24.52
05154056,Uedem,64.53,-1.07,22.09,35.97
05154060,Wachtendonk,63.82,0.86,22.83,38.4
05154064,Weeze,55.7,10.42,17.78,28.24
05158004,"Erkrath, Fundort des Neanderthalers, Stadt",62.82,-1.25,27.19,41.03
05158008,"Haan, Stadt",64.31,-1.2,25.83,38.75
05158012,"Heiligenhaus, Stadt",63.06,0.41,23.4,34.48
05158016,"Hilden, Stadt",66.97,-1.27,25.92,37.03
05158020,"Langenfeld (Rheinland), Stadt",65.77,1.63,23.42,33.6
05158024,"Mettmann, Stadt",63.04,1.69,23.65,38.85
05158026,"Monheim am Rhein, Stadt",63.76,5.99,21.95,35.03
05158028,"Ratingen, Stadt",62.47,1.62,25.51,41.44
05158032,"Velbert, Stadt",63.12,0.59,22.71,34.36
05158036,"Wülfrath, Stadt",65.44,-1.65,24.75,34.0
05162004,"Dormagen, Stadt",65.06,-0.3,22.75,33.44
05162008,"Grevenbroich, Stadt",65.62,3.01,22.28,35.47
05162012,"Jüchen, Stadt",63.66,2.97,22.31,31.83
05162016,"Kaarst, Stadt",64.42,-0.56,25.83,34.7
05162020,"Korschenbroich, Stadt",65.65,4.54,24.74,30.48
05162022,"Meerbusch, Stadt",61.92,1.64,23.57,35.61
05162024,"Neuss, Stadt",63.89,0.6,21.38,41.61
05162028,Rommerskirchen,64.73,6.67,20.72,28.57
05166004,"Brüggen, Burggemeinde",62.43,3.06,24.18,30.79
05166008,"Grefrath, Sport- und Freizeitgemeinde",63.42,1.39,24.07,33.04
05166012,"Kempen, Stadt",63.67,-0.97,25.67,35.4
05166016,"Nettetal, Stadt",60.1,-0.76,22.7,38.42
05166020,Niederkrüchten,64.09,-5.83,23.93,38.1
05166024,Schwalmtal,63.1,-0.8,23.09,44.53
05166028,"Tönisvorst, Stadt",64.32,-0.54,24.95,36.44
05166032,"Viersen, Stadt",60.82,1.09,22.62,43.92
05166036,"Willich, Stadt",63.61,-2.14,22.88,35.83
05170004,Alpen,66.54,-0.87,25.02,20.88
05170008,"Dinslaken, Stadt",62.14,-0.48,25.03,42.57
05170012,"Hamminkeln, Stadt",66.12,0.74,23.9,29.7
05170016,Hünxe,62.15,1.04,27.64,29.35
05170020,"Kamp-Lintfort, Stadt",61.54,1.61,22.52,35.23
05170024,"Moers, Stadt",59.95,-2.05,24.33,42.07
05170028,"Neukirchen-Vluyn, Stadt",64.01,1.1,25.65,41.71
05170032,"Rheinberg, Stadt",64.08,0.39,23.15,35.18
05170036,Schermbeck,63.86,-0.62,26.6,25.48
05170040,Sonsbeck,62.01,-0.09,22.0,23.47
05170044,"Voerde (Niederrhein), Stadt",62.92,-1.03,25.8,44.29
05170048,"Wesel, Stadt",63.36,-0.03,24.22,39.09
05170052,"Xanten, Stadt",63.69,-2.69,26.79,29.75
05314000,"Bonn, Stadt",59.28,-1.7,18.89,42.6
05315000,"Köln, Stadt",63.1,-5.64,17.88,45.08
05316000,"Leverkusen, Stadt",61.17,2.45,21.51,34.17
05334002,"Aachen, Stadt",53.16,6.63,18.52,42.2
05334004,"Alsdorf, Stadt",58.76,4.09,21.21,40.19
05334008,"Baesweiler, Stadt",59.21,7.97,21.15,37.09
05334012,"Eschweiler, Stadt",59.81,1.87,22.92,30.98
05334016,"Herzogenrath, Stadt",60.33,3.74,23.75,33.54
05334020,"Monschau, Stadt",59.15,5.32,26.03,29.29
05334024,"Roetgen, Tor zur Eifel",59.92,1.3,23.99,31.48
05334028,Simmerath,60.85,7.86,24.8,35.09
05334032,"Stolberg (Rhld.), Kupferstadt",59.06,1.13,23.0,33.71
05334036,"Würselen, Stadt",61.16,2.99,22.98,34.77
05358004,Aldenhoven,61.85,3.22,20.08,38.97
05358008,"Düren, Stadt",56.89,3.99,21.28,49.25
05358012,"Heimbach, Stadt",58.12,3.88,26.62,41.67
05358016,Hürtgenwald,61.9,5.16,24.04,31.03
05358020,Inden,64.87,2.78,19.51,25.54
05358024,"Jülich, Stadt",60.23,6.09,22.52,38.19
05358028,Kreuzau,61.32,3.74,25.81,39.6
05358032,Langerwehe,62.14,6.36,22.02,32.58
05358036,"Linnich, Stadt",61.53,7.43,23.59,36.2
05358040,Merzenich,61.71,7.58,23.03,36.2
05358044,"Nideggen, Stadt",58.87,9.01,25.28,34.63
05358048,Niederzier,64.56,7.05,22.23,39.42
05358052,Nörvenich,60.67,13.67,20.8,30.47
05358056,Titz,62.65,8.41,21.55,33.74
05358060,Vettweiß,64.16,6.65,19.9,27.44
05362004,"Bedburg, Stadt",63.12,7.08,21.72,38.14
05362008,"Bergheim, Stadt",62.62,-0.22,21.34,42.59
05362012,"Brühl, Stadt",63.48,2.25,23.24,37.3
05362016,"Elsdorf, Stadt",65.74,-1.88,21.3,35.82
05362020,"Erftstadt, Stadt",63.96,-2.8,24.87,33.85
05362024,"Frechen, Stadt",64.17,-0.32,21.79,41.07
05362028,"Hürth, Stadt",65.05,2.75,19.5,35.92
05362032,"Kerpen, Kolpingstadt",64.91,0.48,20.72,43.76
05362036,"Pulheim, Stadt",62.29,3.98,24.82,31.24
05362040,"Wesseling, Stadt",66.96,4.54,19.88,39.18
05366004,"Bad Münstereifel, Stadt",58.57,6.04,26.93,35.52
05366008,Blankenheim,58.78,1.42,25.15,33.83
05366012,Dahlem,59.82,5.62,24.92,31.43
05366016,"Euskirchen, Stadt",60.26,3.13,21.79,38.84
05366020,Hellenthal,62.37,-1.41,25.85,29.55
05366024,Kall,65.15,-0.75,24.01,38.1
05366028,"Mechernich, Stadt",59.08,5.63,22.27,35.95
05366032,Nettersheim,56.54,17.53,20.32,23.72
05366036,"Schleiden, Stadt",56.9,3.41,24.27,35.81
05366040,Weilerswist,62.94,7.13,21.34,32.67
05366044,"Zülpich, Stadt",63.35,7.05,21.43,32.45
05370004,"Erkelenz, Stadt",63.14,3.72,23.34,27.94
05370008,Gangelt,56.93,5.69,21.23,24.81
05370012,"Geilenkirchen, Stadt",57.96,4.7,21.07,33.86
05370016,"Heinsberg, Stadt",61.62,2.73,22.48,28.49
05370020,"Hückelhoven, Stadt",59.75,3.39,20.81,33.53
05370024,Selfkant,43.46,5.45,21.63,23.89
05370028,"Übach-Palenberg, Stadt",60.65,-0.11,22.21,34.96
05370032,Waldfeucht,58.1,4.72,22.21,26.23
05370036,"Wassenberg, Stadt",59.44,7.24,23.08,34.48
05370040,"Wegberg, Stadt",65.02,-1.92,25.24,26.91
05374004,"Bergneustadt, Stadt",64.84,-1.58,22.39,48.85
05374008,Engelskirchen,65.53,2.32,23.78,35.76
05374012,"Gummersbach, Stadt",64.25,1.32,21.65,36.11
05374016,"Hückeswagen, Schloss-Stadt",66.29,-3.55,23.92,50.09
05374020,Lindlar,66.3,0.87,22.3,23.04
05374024,Marienheide,66.91,-1.49,21.24,26.69
05374028,Morsbach,66.43,3.09,22.96,34.23
05374032,Nümbrecht,65.54,3.77,21.32,37.43
05374036,"Radevormwald, Stadt auf der Höhe",67.26,-2.3,24.56,41.18
05374040,Reichshof,65.53,0.04,20.11,45.68
05374044,"Waldbröl, Stadt",63.34,0.79,20.31,41.77
05374048,"Wiehl, Stadt",66.93,-0.12,24.09,35.14
05374052,"Wipperfürth, Hansestadt",65.78,3.06,22.11,33.27
05378004,"Bergisch Gladbach, Stadt",62.15,-0.86,24.97,39.74
05378008,"Burscheid, Stadt",64.62,6.22,20.92,46.78
05378012,Kürten,65.19,1.04,22.39,41.3
05378016,"Leichlingen (Rheinland), Blütenstadt",65.29,-0.35,25.08,37.01
05378020,Odenthal,61.1,5.05,23.56,29.03
05378024,"Overath, Stadt",64.43,-1.39,23.05,43.01
05378028,"Rösrath, Stadt",62.75,-0.18,23.14,41.7
05378032,"Wermelskirchen, Stadt",65.69,-1.31,24.3,40.41
05382004,Alfter,60.59,0.88,21.51,31.02
05382008,"Bad Honnef, Stadt",62.38,-3.32,26.29,30.97
05382012,"Bornheim, Stadt",64.87,-0.6,21.74,31.11
05382016,Eitorf,60.61,2.32,21.91,38.83
05382020,"Hennef (Sieg), Stadt",63.24,2.02,21.22,36.49
05382024,"Königswinter, Stadt",62.23,-1.32,23.66,34.25
05382028,"Lohmar, Stadt",62.52,2.19,23.33,31.35
05382032,"Meckenheim, Stadt",58.25,0.56,27.16,35.92
05382036,Much,64.38,1.82,21.94,31.75
05382040,Neunkirchen-Seelscheid,61.49,2.89,24.83,31.43
05382044,"Niederkassel, Stadt",64.74,0.91,20.94,34.81
05382048,"Rheinbach, Stadt",57.8,-0.61,23.72,36.71
05382052,Ruppichteroth,63.87,4.35,20.67,30.52
05382056,"Sankt Augustin, Stadt",59.56,1.44,24.04,41.14
05382060,"Siegburg, Stadt",62.09,1.96,20.76,38.97
05382064,Swisttal,63.1,-0.55,24.16,35.26
05382068,"Troisdorf, Stadt",64.02,1.23,21.22,41.47
05382072,Wachtberg,62.87,0.51,22.65,31.9
05382076,Windeck,58.87,4.2,23.83,37.7
05512000,"Bottrop, Stadt",59.46,1.3,23.93,36.53
05513000,"Gelsenkirchen, Stadt",53.3,2.54,20.25,43.74
05515000,"Münster, Stadt",60.4,-2.31,18.41,41.8
05554004,"Ahaus, Stadt",67.48,2.17,18.8,34.71
05554008,"Bocholt, Stadt",65.63,2.52,21.77,42.62
05554012,"Borken, Stadt",67.02,0.73,21.59,38.88
05554016,"Gescher, Glockenstadt",70.65,1.39,20.76,34.54
05554020,"Gronau (Westf.), Stadt",57.61,4.59,17.96,45.87
05554024,Heek,68.15,1.08,17.94,20.95
05554028,Heiden,65.59,5.31,22.03,33.73
05554032,"Isselburg, Stadt",65.21,4.79,20.66,35.49
05554036,Legden,69.53,3.05,17.65,30.53
05554040,Raesfeld,67.88,2.45,22.51,24.87
05554044,Reken,68.11,2.4,21.68,22.41
05554048,"Rhede, Stadt",68.95,1.37,20.84,27.84
05554052,Schöppingen,69.89,3.99,19.68,27.72
05554056,"Stadtlohn, Stadt",69.17,2.88,17.75,34.83
05554060,Südlohn,67.4,6.54,19.97,15.05
05554064,"Velen, Stadt",70.15,-2.91,20.1,34.56
05554068,"Vreden, Stadt",69.8,2.06,18.99,32.48
05558004,Ascheberg,66.2,2.5,20.8,29.25
05558008,"Billerbeck, Stadt",67.53,2.25,22.78,21.6
05558012,"Coesfeld, Stadt",68.42,4.94,22.66,33.04
05558016,"Dülmen, Stadt",66.27,2.46,23.21,31.69
05558020,Havixbeck,66.17,3.36,24.49,22.83
05558024,"Lüdinghausen, Stadt",64.78,1.7,22.82,34.51
05558028,Nordkirchen,65.85,5.31,22.77,27.04
05558032,Nottuln,66.51,3.33,22.81,47.11
05558036,"Olfen, Stadt",65.12,1.52,24.46,33.75
05558040,Rosendahl,74.06,3.4,19.84,18.92
05558044,Senden,68.29,0.7,22.75,23.21
05562004,"Castrop-Rauxel, Stadt",60.49,0.44,23.26,40.75
05562008,"Datteln, Stadt",62.46,2.5,23.25,59.18
05562012,"Dorsten, Stadt",61.09,1.83,24.83,41.53
05562014,"Gladbeck, Stadt",57.79,-0.13,21.99,56.36
05562016,"Haltern am See, Stadt",64.34,0.25,24.86,33.25
05562020,"Herten, Stadt",58.81,-1.08,24.44,47.6
05562024,"Marl, Stadt",58.82,3.27,23.28,56.9
05562028,"Oer-Erkenschwick, Stadt",62.83,-0.3,22.89,43.62
05562032,"Recklinghausen, Stadt",60.74,2.79,23.57,46.55
05562036,"Waltrop, Stadt",63.39,-0.25,25.62,47.21
05566004,Altenberge,68.26,-0.01,20.5,40.83
05566008,"Emsdetten, Stadt",68.7,-0.14,21.23,42.41
05566012,"Greven, Stadt",69.39,1.09,21.29,44.69
05566016,"Hörstel, Stadt",70.64,-0.08,19.69,34.22
05566020,Hopsten,67.72,1.67,17.99,26.9
05566024,"Horstmar, Stadt der Burgmannshöfe",76.45,11.45,18.93,36.63
05566028,"Ibbenbüren, Stadt",67.76,-0.19,20.95,44.12
05566032,Ladbergen,71.4,3.07,22.6,31.17
05566036,Laer,65.44,1.93,19.47,35.33
05566040,"Lengerich, Stadt",68.33,0.01,22.55,36.15
05566044,Lienen,70.32,-0.3,23.2,24.47
05566048,Lotte,72.08,-2.4,21.02,43.26
05566052,Metelen,68.3,2.88,20.63,44.06
05566056,Mettingen,69.45,-2.32,22.11,30.77
05566060,Neuenkirchen,68.03,-0.33,19.5,46.24
05566064,Nordwalde,68.16,4.1,22.11,42.48
05566068,"Ochtrup, Stadt",67.84,3.21,19.59,46.61
05566072,Recke,69.37,-0.08,20.17,35.11
05566076,"Rheine, Stadt",66.43,0.83,21.36,45.31
05566080,"Saerbeck, NRW-Klimakommune",69.8,-4.05,20.45,33.11
05566084,"Steinfurt, Stadt",66.83,1.3,20.93,47.9
05566088,"Tecklenburg, Stadt",67.35,-0.65,23.44,29.44
05566092,Westerkappeln,72.16,-2.44,22.89,35.82
05566096,Wettringen,69.21,0.1,18.93,34.59
05570004,"Ahlen, Stadt",63.14,0.8,21.87,47.35
05570008,"Beckum, Stadt",69.07,1.15,22.64,43.67
05570012,Beelen,72.99,-3.63,19.62,26.49
05570016,"Drensteinfurt, Stadt",67.31,3.47,21.27,34.49
05570020,"Ennigerloh, Stadt",70.93,-0.65,23.47,38.16
05570024,Everswinkel,67.47,1.31,23.23,30.85
05570028,"Oelde, Stadt",71.74,2.55,22.17,34.56
05570032,Ostbevern,68.49,3.31,19.14,33.6
05570036,"Sassenberg, Stadt",69.54,2.52,19.5,30.28
05570040,"Sendenhorst, Stadt",68.52,6.78,21.52,39.76
05570044,"Telgte, Stadt",67.68,0.46,23.53,33.64
05570048,Wadersloh,70.98,3.19,23.09,28.46
05570052,"Warendorf, Stadt",67.21,1.15,23.48,32.1
05711000,"Bielefeld, Stadt",62.2,-0.68,20.16,45.24
05754004,"Borgholzhausen, Stadt",73.54,-0.91,20.82,35.68
05754008,"Gütersloh, Stadt",69.66,-0.4,21.13,37.39
05754012,"Halle (Westf.), Stadt",67.63,-0.2,23.01,36.12
05754016,"Harsewinkel, Die Mähdrescherstadt",72.38,1.25,18.75,35.94
05754020,Herzebrock-Clarholz,73.65,4.05,20.62,34.16
05754024,Langenberg,73.87,-2.66,19.36,35.57
05754028,"Rheda-Wiedenbrück, Stadt",72.1,-0.26,19.45,38.54
05754032,"Rietberg, Stadt",70.79,1.8,20.35,43.14
05754036,"Schloß Holte-Stukenbrock, Stadt",69.42,-2.09,21.24,39.08
05754040,Steinhagen,68.94,-2.69,22.68,34.35
05754044,"Verl, Stadt",72.15,0.67,19.0,34.55
05754048,"Versmold, Stadt",72.1,0.66,20.89,31.02
05754052,"Werther (Westf.), Stadt",65.47,-1.86,24.39,37.24
05758004,"Bünde, Stadt",66.21,2.4,23.48,30.67
05758008,"Enger, Widukindstadt",65.81,1.04,22.18,29.1
05758012,"Herford, Hansestadt",62.78,1.2,21.86,40.76
05758016,Hiddenhausen,69.87,-1.26,24.03,30.88
05758020,Kirchlengern,68.8,2.71,22.44,29.05
05758024,"Löhne, Stadt",66.59,2.79,22.46,30.88
05758028,Rödinghausen,67.27,2.04,21.7,28.57
05758032,"Spenge, Stadt",66.71,0.98,25.18,27.07
05758036,"Vlotho, Stadt",67.73,0.36,24.08,30.46
05762004,"Bad Driburg, Stadt",66.8,-0.91,25.16,33.81
05762008,"Beverungen, Stadt",65.04,-2.79,25.72,30.43
05762012,"Borgentreich, Orgelstadt",66.04,1.62,23.72,24.52
05762016,"Brakel, Stadt",65.52,-0.77,23.43,26.44
05762020,"Höxter, Stadt",67.45,-2.26,25.89,24.03
05762024,"Marienmünster, Stadt",67.95,-3.69,24.52,24.11
05762028,"Nieheim, Stadt",66.94,-0.44,23.24,27.7
05762032,"Steinheim, Stadt",70.14,-4.19,23.21,27.92
05762036,"Warburg, Hansestadt",66.02,1.03,23.91,25.56
05762040,"Willebadessen, Stadt",65.99,0.65,22.14,25.51
05766004,Augustdorf,64.9,-1.62,16.46,38.98
05766008,"Bad Salzuflen, Stadt",65.25,-0.04,25.33,47.13
05766012,"Barntrup, Stadt",69.99,-3.32,24.22,40.19
05766016,"Blomberg, Stadt",68.06,2.69,23.1,33.64
05766020,"Detmold, Stadt",62.83,-0.21,22.99,49.13
05766024,Dörentrup,69.32,-2.85,22.71,37.04
05766028,Extertal,66.35,2.36,24.95,46.82
05766032,"Horn-Bad Meinberg, Stadt",64.88,1.15,24.94,46.39
05766036,Kalletal,69.03,-2.02,24.77,39.6
05766040,"Lage, Stadt",65.6,-0.32,22.19,45.49
05766044,"Lemgo, Stadt",68.34,-1.97,23.87,39.36
05766048,Leopoldshöhe,65.19,5.66,22.32,37.37
05766052,"Lügde, Stadt der Osterräder",69.04,-1.63,23.63,38.36
05766056,"Oerlinghausen, Stadt",65.57,-0.34,23.78,41.64
05766060,"Schieder-Schwalenberg, Stadt",66.82,-4.14,24.59,30.72
05766064,Schlangen,66.43,0.31,21.87,40.83
05770004,"Bad Oeynhausen, Stadt",65.05,3.72,22.94,35.74
05770008,"Espelkamp, Stadt",65.92,4.37,20.6,30.83
05770012,Hille,65.41,5.41,23.38,29.0
05770016,Hüllhorst,67.57,2.12,20.55,31.34
05770020,"Lübbecke, Stadt",68.01,5.26,22.77,33.83
05770024,"Minden, Stadt",60.5,2.83,22.4,47.53
05770028,"Petershagen, Stadt",67.83,0.77,24.54,33.89
05770032,"Porta Westfalica, Stadt",66.3,2.59,23.01,31.47
05770036,"Preußisch Oldendorf, Stadt",68.82,2.01,21.97,23.48
05770040,"Rahden, Stadt",69.28,4.59,23.28,29.32
05770044,Stemwede,67.87,3.76,24.32,23.66
05774004,Altenbeken,66.52,0.12,22.2,28.64
05774008,"Bad Lippspringe, Stadt",62.38,7.14,23.94,41.83
05774012,Borchen,65.47,2.63,21.2,25.5
05774016,"Büren, Stadt",67.07,-0.95,20.99,35.69
05774020,"Delbrück, Stadt",68.84,-0.06,19.91,29.06
05774024,"Hövelhof, Sennegemeinde",68.24,2.79,20.94,27.91
05774028,"Lichtenau, Stadt",67.15,2.44,20.77,22.75
05774032,"Paderborn, Stadt",60.19,4.19,18.88,37.27
05774036,"Salzkotten, Stadt",66.8,0.83,21.44,28.96
05774040,"Bad Wünnenberg, Stadt",70.08,1.64,19.61,24.05
05911000,"Bochum, Stadt",60.23,-2.09,22.3,41.18
05913000,"Dortmund, Stadt",58.04,2.44,20.39,43.9
05914000,"Hagen, Stadt der FernUniversität",59.23,0.97,21.43,45.77
05915000,"Hamm, Stadt",60.58,0.15,21.63,47.35
05916000,"Herne, Stadt",58.4,-0.14,21.93,37.05
05954004,"Breckerfeld, Hansestadt",65.14,-0.91,24.91,29.58
05954008,"Ennepetal, Stadt der Kluterthöhle",68.81,-1.8,22.99,39.76
05954012,"Gevelsberg, Stadt",67.96,-2.15,23.86,34.79
05954016,"Hattingen, Stadt",64.95,-2.85,26.27,36.62
05954020,"Herdecke, Stadt",63.71,0.91,27.04,37.74
05954024,"Schwelm, Stadt",63.07,-1.74,23.97,45.31
05954028,"Sprockhövel, Stadt",66.58,-1.76,26.23,35.03
05954032,"Wetter (Ruhr), Stadt",66.23,-4.15,24.0,33.79
05954036,"Witten, Stadt",64.09,-4.69,23.88,45.86
05958004,"Arnsberg, Stadt",65.49,1.81,23.75,44.72
05958008,Bestwig,70.42,-4.23,21.74,45.45
05958012,"Brilon, Stadt",69.4,0.15,23.57,20.52
05958016,Eslohe (Sauerland),67.58,-0.62,21.32,23.12
05958020,"Hallenberg, Stadt",69.98,-2.9,23.05,25.68
05958024,"Marsberg, Stadt",68.04,-0.32,25.02,33.57
05958028,"Medebach, Hansestadt",70.55,-0.79,22.45,34.05
05958032,"Meschede, Kreis- und  Hochschulstadt",67.63,-1.03,23.55,31.59
05958036,"Olsberg, Stadt",68.59,1.65,23.2,35.98
05958040,"Schmallenberg, Stadt",71.88,-1.05,22.77,33.57
05958044,"Sundern (Sauerland), Stadt",67.66,-0.39,22.54,28.45
05958048,"Winterberg, Stadt",68.33,4.39,25.09,31.65
05962004,"Altena, Stadt",63.18,-1.57,24.37,37.52
05962008,"Balve, Stadt",67.42,-1.09,23.27,32.83
05962012,"Halver, Stadt",66.51,1.71,22.92,39.1
05962016,"Hemer, Stadt",62.74,2.76,22.66,41.24
05962020,Herscheid,68.38,-2.15,24.48,32.93
05962024,"Iserlohn, Stadt",62.31,-0.84,23.71,42.62
05962028,"Kierspe, Stadt",65.52,2.72,21.35,41.88
05962032,"Lüdenscheid, Stadt",65.57,-1.57,22.48,43.5
05962036,"Meinerzhagen, Stadt",66.48,-1.64,21.4,40.52
05962040,"Menden (Sauerland), Stadt",66.02,-1.29,24.66,39.28
05962044,Nachrodt-Wiblingwerde,65.9,-6.53,21.6,37.02
05962048,"Neuenrade, Stadt",65.88,-2.74,22.48,38.14
05962052,"Plettenberg, Stadt",65.39,-3.22,22.25,39.12
05962056,Schalksmühle,67.1,1.03,23.93,44.38
05962060,"Werdohl, Stadt",61.1,0.36,20.66,44.44
05966004,"Attendorn, Hansestadt",70.08,-3.11,20.92,30.59
05966008,"Drolshagen, Stadt",69.01,1.04,21.01,25.5
05966012,Finnentrop,70.03,-0.57,20.53,29.34
05966016,Kirchhundem,67.74,-0.7,21.06,28.93
05966020,"Lennestadt, Stadt",69.65,-4.64,22.51,31.68
05966024,"Olpe, Stadt",66.02,-0.06,22.82,26.8
05966028,Wenden,69.84,-1.71,20.2,22.31
05970004,"Bad Berleburg, Stadt",73.17,-5.93,24.81,30.75
05970008,Burbach,69.0,-1.86,21.65,26.71
05970012,Erndtebrück,71.88,-2.31,24.05,32.26
05970016,"Freudenberg, Stadt",69.19,-1.66,23.88,28.99
05970020,"Hilchenbach, Stadt",68.46,-2.46,23.87,34.76
05970024,"Kreuztal, Stadt",66.13,-0.84,22.14,32.31
05970028,"Bad Laasphe, Stadt",68.72,-2.99,24.56,34.02
05970032,"Netphen, Stadt",70.09,0.16,23.23,26.94
05970036,Neunkirchen,67.4,-4.79,24.28,26.4
05970040,"Siegen, Universitätsstadt",63.11,-0.39,20.79,34.47
05970044,Wilnsdorf,67.24,0.47,24.41,23.94
05974004,Anröchte,68.31,0.55,19.97,30.51
05974008,Bad Sassendorf,67.61,0.78,33.09,35.89
05974012,Ense,67.6,1.16,21.26,24.05
05974016,"Erwitte, Stadt",66.82,1.7,22.91,29.17
05974020,"Geseke, Stadt",67.59,-1.93,20.38,36.03
05974024,Lippetal,66.59,0.93,21.63,28.67
05974028,"Lippstadt, Stadt",66.44,1.03,21.8,37.26
05974032,Möhnesee,61.1,-0.84,24.41,29.33
05974036,"Rüthen, Stadt",71.2,-5.85,22.48,24.45
05974040,"Soest, Stadt",65.39,-0.37,21.8,44.53
05974044,"Warstein, Stadt",67.95,0.85,25.45,33.33
05974048,Welver,66.15,0.62,23.27,28.23
05974052,"Werl, Stadt",63.26,-2.96,21.85,37.25
05974056,Wickede (Ruhr),66.25,-7.76,24.27,32.89
05978004,"Bergkamen, Stadt",61.88,0.81,21.55,40.5
05978008,Bönen,63.1,-1.1,23.3,40.64
05978012,"Fröndenberg/Ruhr, Stadt",64.64,-1.13,25.56,36.09
05978016,Holzwickede,64.6,3.49,24.51,34.84
05978020,"Kamen, Stadt",63.59,-1.33,24.88,40.65
05978024,"Lünen, Stadt",60.37,-0.61,22.35,43.66
05978028,"Schwerte, Hansestadt an der Ruhr",63.53,-0.72,25.54,35.08
05978032,"Selm, Stadt",62.54,1.11,23.23,36.93
05978036,"Unna, Stadt",64.67,2.29,24.31,37.87
05978040,"Werne, Stadt",64.68,2.52,26.13,36.0
